# ###########
# [default parameters]
#   OrderedDict([('NL', '20'), ('NR', '20'), ('GNL', '1e-4'), ('GNR', '1e-4'), ('GS', '1.'), ('wL', '5.'), ('wR', '3.'), ('lambdaL', '0.2'), ('lambdaR', '0.2'), ('QL', '1e5'), ('QR', '1e5'), ('TL', '10.'), ('TR', '10.'), ('muL', '-1e3'), ('muR', '-1e3'), ('ham', 'chargevib')])
# [assignments]
#   OrderedDict([('eLu', 'x'), ('eLd', 'x'), ('eRu', 'x'), ('eRd', 'x')])
# [variables]
#   ['x']
# [columns]
#   ['x', 'IL', 'IR', 'nL', 'nR', 'commL', 'commR', 'dotQL', 'dotQR']
# ###########
# 
-3.683200e+00 1.913941e-06 1.913941e-06 1.542549e+00 2.811709e+00 9.994034e-01 9.824890e-01 5.043077e-07 3.173918e-07
-3.680000e+00 1.916348e-06 1.916348e-06 1.542527e+00 2.811696e+00 9.994035e-01 9.824894e-01 4.987332e-07 3.161831e-07
-3.676800e+00 1.918807e-06 1.918807e-06 1.542516e+00 2.811658e+00 9.994035e-01 9.824913e-01 4.961479e-07 3.123402e-07
-3.673600e+00 1.921316e-06 1.921316e-06 1.542491e+00 2.811657e+00 9.994035e-01 9.824908e-01 4.899852e-07 3.124154e-07
-3.670400e+00 1.923873e-06 1.923873e-06 1.542464e+00 2.811667e+00 9.994035e-01 9.824913e-01 4.834536e-07 3.131839e-07
-3.667200e+00 1.926477e-06 1.926477e-06 1.542452e+00 2.811642e+00 9.994036e-01 9.824928e-01 4.805234e-07 3.106578e-07
-3.664000e+00 1.929125e-06 1.929125e-06 1.542431e+00 2.811642e+00 9.994037e-01 9.824925e-01 4.752459e-07 3.107755e-07
-3.660800e+00 1.931816e-06 1.931816e-06 1.542437e+00 2.811572e+00 9.994038e-01 9.824936e-01 4.768786e-07 3.042627e-07
-3.657600e+00 1.934550e-06 1.934550e-06 1.542414e+00 2.811586e+00 9.994038e-01 9.824946e-01 4.712235e-07 3.053103e-07
-3.654400e+00 1.937323e-06 1.937323e-06 1.542411e+00 2.811546e+00 9.994038e-01 9.824953e-01 4.706427e-07 3.015405e-07
-3.651200e+00 1.940137e-06 1.940137e-06 1.542388e+00 2.811562e+00 9.994038e-01 9.824948e-01 4.648685e-07 3.032157e-07
-3.648000e+00 1.942988e-06 1.942988e-06 1.542390e+00 2.811517e+00 9.994039e-01 9.824958e-01 4.653402e-07 2.988807e-07
-3.644800e+00 1.945876e-06 1.945876e-06 1.542376e+00 2.811511e+00 9.994039e-01 9.824959e-01 4.621655e-07 2.984227e-07
-3.641600e+00 1.948800e-06 1.948800e-06 1.542363e+00 2.811511e+00 9.994039e-01 9.824965e-01 4.588214e-07 2.983540e-07
-3.638400e+00 1.951759e-06 1.951759e-06 1.542360e+00 2.811482e+00 9.994040e-01 9.824967e-01 4.583029e-07 2.956704e-07
-3.635200e+00 1.954753e-06 1.954753e-06 1.542344e+00 2.811491e+00 9.994040e-01 9.824967e-01 4.544538e-07 2.965230e-07
-3.632000e+00 1.957780e-06 1.957780e-06 1.542338e+00 2.811473e+00 9.994040e-01 9.824962e-01 4.530620e-07 2.951130e-07
-3.628800e+00 1.960839e-06 1.960839e-06 1.542344e+00 2.811431e+00 9.994040e-01 9.824975e-01 4.544571e-07 2.911051e-07
-3.625600e+00 1.963930e-06 1.963930e-06 1.542324e+00 2.811458e+00 9.994040e-01 9.824974e-01 4.495455e-07 2.935893e-07
-3.622400e+00 1.967052e-06 1.967052e-06 1.542317e+00 2.811451e+00 9.994041e-01 9.824978e-01 4.480139e-07 2.928690e-07
-3.619200e+00 1.970205e-06 1.970205e-06 1.542303e+00 2.811466e+00 9.994041e-01 9.824977e-01 4.445095e-07 2.942925e-07
-3.616000e+00 1.973387e-06 1.973387e-06 1.542298e+00 2.811455e+00 9.994041e-01 9.824977e-01 4.435338e-07 2.933517e-07
-3.612800e+00 1.976598e-06 1.976598e-06 1.542296e+00 2.811440e+00 9.994041e-01 9.824978e-01 4.430738e-07 2.920549e-07
-3.609600e+00 1.979839e-06 1.979839e-06 1.542282e+00 2.811456e+00 9.994041e-01 9.824969e-01 4.397401e-07 2.937876e-07
-3.606400e+00 1.983107e-06 1.983107e-06 1.542291e+00 2.811418e+00 9.994041e-01 9.824979e-01 4.419263e-07 2.901490e-07
-3.603200e+00 1.986402e-06 1.986402e-06 1.542286e+00 2.811417e+00 9.994041e-01 9.824979e-01 4.406983e-07 2.900715e-07
-3.600000e+00 1.989726e-06 1.989726e-06 1.542278e+00 2.811424e+00 9.994041e-01 9.824977e-01 4.387981e-07 2.908083e-07
-3.596800e+00 1.993075e-06 1.993075e-06 1.542277e+00 2.811413e+00 9.994042e-01 9.824978e-01 4.387511e-07 2.898291e-07
-3.593600e+00 1.996451e-06 1.996451e-06 1.542282e+00 2.811386e+00 9.994041e-01 9.824979e-01 4.402157e-07 2.874715e-07
-3.590400e+00 1.999854e-06 1.999854e-06 1.542273e+00 2.811403e+00 9.994042e-01 9.824981e-01 4.379745e-07 2.889521e-07
-3.587200e+00 2.003282e-06 2.003282e-06 1.542266e+00 2.811412e+00 9.994041e-01 9.824971e-01 4.362138e-07 2.900791e-07
-3.584000e+00 2.006735e-06 2.006735e-06 1.542273e+00 2.811388e+00 9.994041e-01 9.824983e-01 4.380912e-07 2.876916e-07
-3.580800e+00 2.010214e-06 2.010214e-06 1.542258e+00 2.811419e+00 9.994041e-01 9.824970e-01 4.346168e-07 2.907789e-07
-3.577600e+00 2.013718e-06 2.013718e-06 1.542256e+00 2.811415e+00 9.994043e-01 9.824951e-01 4.341452e-07 2.909821e-07
-3.574400e+00 2.017245e-06 2.017245e-06 1.542265e+00 2.811395e+00 9.994041e-01 9.824977e-01 4.364037e-07 2.885693e-07
-3.571200e+00 2.020798e-06 2.020798e-06 1.542263e+00 2.811395e+00 9.994041e-01 9.824966e-01 4.360472e-07 2.888873e-07
-3.568000e+00 2.024375e-06 2.024375e-06 1.542263e+00 2.811394e+00 9.994040e-01 9.824964e-01 4.361109e-07 2.888976e-07
-3.564800e+00 2.027976e-06 2.027976e-06 1.542259e+00 2.811402e+00 9.994041e-01 9.824960e-01 4.353701e-07 2.898236e-07
-3.561600e+00 2.031601e-06 2.031601e-06 1.542250e+00 2.811429e+00 9.994040e-01 9.824959e-01 4.332246e-07 2.922637e-07
-3.558400e+00 2.035250e-06 2.035250e-06 1.542253e+00 2.811420e+00 9.994041e-01 9.824940e-01 4.339258e-07 2.919657e-07
-3.555200e+00 2.038923e-06 2.038923e-06 1.542252e+00 2.811428e+00 9.994039e-01 9.824950e-01 4.338475e-07 2.925557e-07
-3.552000e+00 2.042622e-06 2.042622e-06 1.542253e+00 2.811429e+00 9.994039e-01 9.824947e-01 4.343278e-07 2.927015e-07
-3.548800e+00 2.046348e-06 2.046348e-06 1.542255e+00 2.811429e+00 9.994038e-01 9.824944e-01 4.349470e-07 2.928461e-07
-3.545600e+00 2.050135e-06 2.050135e-06 1.542267e+00 2.811401e+00 9.994039e-01 9.824924e-01 4.380755e-07 2.908524e-07
-3.542400e+00 2.079090e-06 2.079090e-06 1.542477e+00 2.811258e+00 9.993983e-01 9.819299e-01 4.925676e-07 4.226916e-07
-3.539200e+00 2.057678e-06 2.057678e-06 1.542275e+00 2.811396e+00 9.994036e-01 9.824924e-01 4.402067e-07 2.905535e-07
-3.536000e+00 2.061468e-06 2.061468e-06 1.542270e+00 2.811419e+00 9.994034e-01 9.824927e-01 4.391308e-07 2.925706e-07
-3.532800e+00 2.065304e-06 2.065304e-06 1.542266e+00 2.811440e+00 9.994033e-01 9.824923e-01 4.382865e-07 2.946255e-07
-3.529600e+00 2.069170e-06 2.069170e-06 1.542274e+00 2.811428e+00 9.994031e-01 9.824917e-01 4.405374e-07 2.937263e-07
-3.526400e+00 2.073064e-06 2.073064e-06 1.542266e+00 2.811462e+00 9.994028e-01 9.824914e-01 4.387969e-07 2.969529e-07
-3.523200e+00 2.076988e-06 2.076988e-06 1.542275e+00 2.811452e+00 9.994025e-01 9.824909e-01 4.411721e-07 2.962042e-07
-3.520000e+00 2.080944e-06 2.080944e-06 1.542286e+00 2.811437e+00 9.994021e-01 9.824908e-01 4.442425e-07 2.949218e-07
-3.516800e+00 2.084938e-06 2.084938e-06 1.542273e+00 2.811487e+00 9.994014e-01 9.824895e-01 4.413577e-07 2.997946e-07
-3.513600e+00 2.088978e-06 2.088978e-06 1.542284e+00 2.811476e+00 9.994004e-01 9.824894e-01 4.445230e-07 2.988791e-07
-3.510400e+00 2.093082e-06 2.093082e-06 1.542302e+00 2.811445e+00 9.993988e-01 9.824890e-01 4.497707e-07 2.962732e-07
-3.507200e+00 2.097288e-06 2.097288e-06 1.542282e+00 2.811519e+00 9.993962e-01 9.824868e-01 4.458392e-07 3.035152e-07
-3.504000e+00 2.101687e-06 2.101687e-06 1.542295e+00 2.811509e+00 9.993912e-01 9.824859e-01 4.511233e-07 3.028754e-07
-3.500800e+00 2.106550e-06 2.106550e-06 1.542297e+00 2.811531e+00 9.993801e-01 9.824830e-01 4.562493e-07 3.056984e-07
-3.497600e+00 2.112906e-06 2.112906e-06 1.542290e+00 2.811603e+00 9.993485e-01 9.824758e-01 4.666975e-07 3.140327e-07
-3.494400e+00 2.126670e-06 2.126670e-06 1.542229e+00 2.811929e+00 9.992140e-01 9.824492e-01 5.033253e-07 3.502345e-07
-3.491200e+00 2.141280e-06 2.141280e-06 1.542155e+00 2.812323e+00 9.990720e-01 9.824221e-01 5.397349e-07 3.926453e-07
-3.488000e+00 2.128359e-06 2.128359e-06 1.542300e+00 2.811703e+00 9.993088e-01 9.824678e-01 4.848124e-07 3.252753e-07
-3.484800e+00 2.128610e-06 2.128610e-06 1.542329e+00 2.811592e+00 9.993638e-01 9.824767e-01 4.709484e-07 3.130046e-07
-3.481600e+00 2.131555e-06 2.131555e-06 1.542360e+00 2.811517e+00 9.993817e-01 9.824799e-01 4.719167e-07 3.054870e-07
-3.478400e+00 2.135272e-06 2.135272e-06 1.542362e+00 2.811534e+00 9.993895e-01 9.824803e-01 4.694803e-07 3.069298e-07
-3.475200e+00 2.139302e-06 2.139302e-06 1.542361e+00 2.811564e+00 9.993935e-01 9.824803e-01 4.679387e-07 3.096751e-07
-3.472000e+00 2.143499e-06 2.143499e-06 1.542387e+00 2.811527e+00 9.993958e-01 9.824802e-01 4.735052e-07 3.064400e-07
-3.468800e+00 2.147808e-06 2.147808e-06 1.542397e+00 2.811533e+00 9.993972e-01 9.824796e-01 4.757694e-07 3.072404e-07
-3.465600e+00 2.152209e-06 2.152209e-06 1.542405e+00 2.811554e+00 9.993981e-01 9.824789e-01 4.773270e-07 3.093301e-07
-3.462400e+00 2.156698e-06 2.156698e-06 1.542447e+00 2.811482e+00 9.993987e-01 9.824781e-01 4.877837e-07 3.030659e-07
-3.459200e+00 2.161280e-06 2.161280e-06 1.542447e+00 2.811533e+00 9.993991e-01 9.824779e-01 4.878608e-07 3.077695e-07
